barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
Anc80BC_0,0,0,0,0,0,0,0,0,0,0,0,0
Anc80BC_1,1,0,0,0,0,0,0,0,0,0,0,1
Anc80BC_2,2,0,0,0,0,0,0,0,0,0,1,0
Anc80BC_3,3,0,0,0,0,0,0,0,0,0,1,1
Anc80BC_4,4,0,0,0,0,0,0,0,0,1,0,0
Anc80BC_5,5,0,0,0,0,0,0,0,0,1,0,1
Anc80BC_6,6,0,0,0,0,0,0,0,0,1,1,0
Anc80BC_7,7,0,0,0,0,0,0,0,0,1,1,1
Anc80BC_8,8,0,0,0,0,0,0,0,1,0,0,0
Anc80BC_9,9,0,0,0,0,0,0,0,1,0,0,1
Anc80BC_10,10,0,0,0,0,0,0,0,1,0,1,0
Anc80BC_11,11,0,0,0,0,0,0,0,1,0,1,1
Anc80BC_12,12,0,0,0,0,0,0,0,1,1,0,0
Anc80BC_13,13,0,0,0,0,0,0,0,1,1,0,1
Anc80BC_14,14,0,0,0,0,0,0,0,1,1,1,0
Anc80BC_15,15,0,0,0,0,0,0,0,1,1,1,1
Anc80BC_16,16,0,0,0,0,0,0,1,0,0,0,0
Anc80BC_17,17,0,0,0,0,0,0,1,0,0,0,1
Anc80BC_18,18,0,0,0,0,0,0,1,0,0,1,0
Anc80BC_19,19,0,0,0,0,0,0,1,0,0,1,1
Anc80BC_20,20,0,0,0,0,0,0,1,0,1,0,0
Anc80BC_21,21,0,0,0,0,0,0,1,0,1,0,1
Anc80BC_22,22,0,0,0,0,0,0,1,0,1,1,0
Anc80BC_23,23,0,0,0,0,0,0,1,0,1,1,1
Anc80BC_24,24,0,0,0,0,0,0,1,1,0,0,0
Anc80BC_25,25,0,0,0,0,0,0,1,1,0,0,1
Anc80BC_26,26,0,0,0,0,0,0,1,1,0,1,0
Anc80BC_27,27,0,0,0,0,0,0,1,1,0,1,1
Anc80BC_28,28,0,0,0,0,0,0,1,1,1,0,0
Anc80BC_29,29,0,0,0,0,0,0,1,1,1,0,1
Anc80BC_30,30,0,0,0,0,0,0,1,1,1,1,0
Anc80BC_31,31,0,0,0,0,0,0,1,1,1,1,1
Anc80BC_32,32,0,0,0,0,0,1,0,0,0,0,0
Anc80BC_33,33,0,0,0,0,0,1,0,0,0,0,1
Anc80BC_34,34,0,0,0,0,0,1,0,0,0,1,0
Anc80BC_35,35,0,0,0,0,0,1,0,0,0,1,1
Anc80BC_36,36,0,0,0,0,0,1,0,0,1,0,0
Anc80BC_37,37,0,0,0,0,0,1,0,0,1,0,1
Anc80BC_38,38,0,0,0,0,0,1,0,0,1,1,0
Anc80BC_39,39,0,0,0,0,0,1,0,0,1,1,1
Anc80BC_40,40,0,0,0,0,0,1,0,1,0,0,0
Anc80BC_41,41,0,0,0,0,0,1,0,1,0,0,1
Anc80BC_42,42,0,0,0,0,0,1,0,1,0,1,0
Anc80BC_43,43,0,0,0,0,0,1,0,1,0,1,1
Anc80BC_44,44,0,0,0,0,0,1,0,1,1,0,0
Anc80BC_45,45,0,0,0,0,0,1,0,1,1,0,1
Anc80BC_46,46,0,0,0,0,0,1,0,1,1,1,0
Anc80BC_47,47,0,0,0,0,0,1,0,1,1,1,1
Anc80BC_48,48,0,0,0,0,0,1,1,0,0,0,0
Anc80BC_49,49,0,0,0,0,0,1,1,0,0,0,1
Anc80BC_50,50,0,0,0,0,0,1,1,0,0,1,0
Anc80BC_51,51,0,0,0,0,0,1,1,0,0,1,1
Anc80BC_52,52,0,0,0,0,0,1,1,0,1,0,0
Anc80BC_53,53,0,0,0,0,0,1,1,0,1,0,1
Anc80BC_54,54,0,0,0,0,0,1,1,0,1,1,0
Anc80BC_55,55,0,0,0,0,0,1,1,0,1,1,1
Anc80BC_56,56,0,0,0,0,0,1,1,1,0,0,0
Anc80BC_57,57,0,0,0,0,0,1,1,1,0,0,1
Anc80BC_58,58,0,0,0,0,0,1,1,1,0,1,0
Anc80BC_59,59,0,0,0,0,0,1,1,1,0,1,1
