barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7
Anc113BC_0,0,0,0,0,0,0,0,0
Anc113BC_1,1,0,0,0,0,0,0,1
Anc113BC_2,2,0,0,0,0,0,1,0
Anc113BC_3,3,0,0,0,0,0,1,1
Anc113BC_4,4,0,0,0,0,1,0,0
Anc113BC_5,5,0,0,0,0,1,0,1
Anc113BC_6,6,0,0,0,0,1,1,0
Anc113BC_7,7,0,0,0,0,1,1,1
Anc113BC_8,8,0,0,0,1,0,0,0
Anc113BC_9,9,0,0,0,1,0,0,1
Anc113BC_10,10,0,0,0,1,0,1,0
Anc113BC_11,11,0,0,0,1,0,1,1
Anc113BC_12,12,0,0,0,1,1,0,0
Anc113BC_13,13,0,0,0,1,1,0,1
Anc113BC_14,14,0,0,0,1,1,1,0
Anc113BC_15,15,0,0,0,1,1,1,1
Anc113BC_16,16,0,0,1,0,0,0,0
Anc113BC_17,17,0,0,1,0,0,0,1
Anc113BC_18,18,0,0,1,0,0,1,0
Anc113BC_19,19,0,0,1,0,0,1,1
Anc113BC_20,20,0,0,1,0,1,0,0
Anc113BC_21,21,0,0,1,0,1,0,1
Anc113BC_22,22,0,0,1,0,1,1,0
Anc113BC_23,23,0,0,1,0,1,1,1
Anc113BC_24,24,0,0,1,1,0,0,0
Anc113BC_25,25,0,0,1,1,0,0,1
Anc113BC_26,26,0,0,1,1,0,1,0
Anc113BC_27,27,0,0,1,1,0,1,1
Anc113BC_28,28,0,0,1,1,1,0,0
Anc113BC_29,29,0,0,1,1,1,0,1
Anc113BC_30,30,0,0,1,1,1,1,0
Anc113BC_31,31,0,0,1,1,1,1,1
Anc113BC_32,32,0,1,0,0,0,0,0
Anc113BC_33,33,0,1,0,0,0,0,1
Anc113BC_34,34,0,1,0,0,0,1,0
Anc113BC_35,35,0,1,0,0,0,1,1
Anc113BC_36,36,0,1,0,0,1,0,0
Anc113BC_37,37,0,1,0,0,1,0,1
Anc113BC_38,38,0,1,0,0,1,1,0
Anc113BC_39,39,0,1,0,0,1,1,1
Anc113BC_40,40,0,1,0,1,0,0,0
Anc113BC_41,41,0,1,0,1,0,0,1
Anc113BC_42,42,0,1,0,1,0,1,0
Anc113BC_43,43,0,1,0,1,0,1,1
Anc113BC_44,44,0,1,0,1,1,0,0
Anc113BC_45,45,0,1,0,1,1,0,1
Anc113BC_46,46,0,1,0,1,1,1,0
Anc113BC_47,47,0,1,0,1,1,1,1
Anc113BC_48,48,0,1,1,0,0,0,0
Anc113BC_49,49,0,1,1,0,0,0,1
Anc113BC_50,50,0,1,1,0,0,1,0
Anc113BC_51,51,0,1,1,0,0,1,1
Anc113BC_52,52,0,1,1,0,1,0,0
Anc113BC_53,53,0,1,1,0,1,0,1
Anc113BC_54,54,0,1,1,0,1,1,0
Anc113BC_55,55,0,1,1,0,1,1,1
