barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Anc127BC_0,0,0,0,0,0,0,0,0,0,0,0
Anc127BC_1,1,0,0,0,0,0,0,0,0,0,1
Anc127BC_2,2,0,0,0,0,0,0,0,0,1,0
Anc127BC_3,3,0,0,0,0,0,0,0,0,1,1
Anc127BC_4,4,0,0,0,0,0,0,0,1,0,0
Anc127BC_5,5,0,0,0,0,0,0,0,1,0,1
Anc127BC_6,6,0,0,0,0,0,0,0,1,1,0
Anc127BC_7,7,0,0,0,0,0,0,0,1,1,1
Anc127BC_8,8,0,0,0,0,0,0,1,0,0,0
Anc127BC_9,9,0,0,0,0,0,0,1,0,0,1
Anc127BC_10,10,0,0,0,0,0,0,1,0,1,0
Anc127BC_11,11,0,0,0,0,0,0,1,0,1,1
Anc127BC_12,12,0,0,0,0,0,0,1,1,0,0
Anc127BC_13,13,0,0,0,0,0,0,1,1,0,1
Anc127BC_14,14,0,0,0,0,0,0,1,1,1,0
Anc127BC_15,15,0,0,0,0,0,0,1,1,1,1
Anc127BC_16,16,0,0,0,0,0,1,0,0,0,0
Anc127BC_17,17,0,0,0,0,0,1,0,0,0,1
Anc127BC_18,18,0,0,0,0,0,1,0,0,1,0
Anc127BC_19,19,0,0,0,0,0,1,0,0,1,1
Anc127BC_20,20,0,0,0,0,0,1,0,1,0,0
Anc127BC_21,21,0,0,0,0,0,1,0,1,0,1
Anc127BC_22,22,0,0,0,0,0,1,0,1,1,0
Anc127BC_23,23,0,0,0,0,0,1,0,1,1,1
Anc127BC_24,24,0,0,0,0,0,1,1,0,0,0
Anc127BC_25,25,0,0,0,0,0,1,1,0,0,1
Anc127BC_26,26,0,0,0,0,0,1,1,0,1,0
Anc127BC_27,27,0,0,0,0,0,1,1,0,1,1
Anc127BC_28,28,0,0,0,0,0,1,1,1,0,0
Anc127BC_29,29,0,0,0,0,0,1,1,1,0,1
Anc127BC_30,30,0,0,0,0,0,1,1,1,1,0
Anc127BC_31,31,0,0,0,0,0,1,1,1,1,1
Anc127BC_32,32,0,0,0,0,1,0,0,0,0,0
Anc127BC_33,33,0,0,0,0,1,0,0,0,0,1
Anc127BC_34,34,0,0,0,0,1,0,0,0,1,0
Anc127BC_35,35,0,0,0,0,1,0,0,0,1,1
Anc127BC_36,36,0,0,0,0,1,0,0,1,0,0
Anc127BC_37,37,0,0,0,0,1,0,0,1,0,1
Anc127BC_38,38,0,0,0,0,1,0,0,1,1,0
Anc127BC_39,39,0,0,0,0,1,0,0,1,1,1
Anc127BC_40,40,0,0,0,0,1,0,1,0,0,0
Anc127BC_41,41,0,0,0,0,1,0,1,0,0,1
Anc127BC_42,42,0,0,0,0,1,0,1,0,1,0
Anc127BC_43,43,0,0,0,0,1,0,1,0,1,1
Anc127BC_44,44,0,0,0,0,1,0,1,1,0,0
Anc127BC_45,45,0,0,0,0,1,0,1,1,0,1
Anc127BC_46,46,0,0,0,0,1,0,1,1,1,0
Anc127BC_47,47,0,0,0,0,1,0,1,1,1,1
Anc127BC_48,48,0,0,0,0,1,1,0,0,0,0
Anc127BC_49,49,0,0,0,0,1,1,0,0,0,1
Anc127BC_50,50,0,0,0,0,1,1,0,0,1,0
Anc127BC_51,51,0,0,0,0,1,1,0,0,1,1
Anc127BC_52,52,0,0,0,0,1,1,0,1,0,0
Anc127BC_53,53,0,0,0,0,1,1,0,1,0,1
Anc127BC_54,54,0,0,0,0,1,1,0,1,1,0
Anc127BC_55,55,0,0,0,0,1,1,0,1,1,1
Anc127BC_56,56,0,0,0,0,1,1,1,0,0,0
Anc127BC_57,57,0,0,0,0,1,1,1,0,0,1
Anc127BC_58,58,0,0,0,0,1,1,1,0,1,0
Anc127BC_59,59,0,0,0,0,1,1,1,0,1,1
Anc127BC_60,60,0,0,0,0,1,1,1,1,0,0
Anc127BC_61,61,0,0,0,0,1,1,1,1,0,1
Anc127BC_62,62,0,0,0,0,1,1,1,1,1,0
Anc127BC_63,63,0,0,0,0,1,1,1,1,1,1
Anc127BC_64,64,0,0,0,1,0,0,0,0,0,0
Anc127BC_65,65,0,0,0,1,0,0,0,0,0,1
Anc127BC_66,66,0,0,0,1,0,0,0,0,1,0
Anc127BC_67,67,0,0,0,1,0,0,0,0,1,1
Anc127BC_68,68,0,0,0,1,0,0,0,1,0,0
Anc127BC_69,69,0,0,0,1,0,0,0,1,0,1
Anc127BC_70,70,0,0,0,1,0,0,0,1,1,0
Anc127BC_71,71,0,0,0,1,0,0,0,1,1,1
Anc127BC_72,72,0,0,0,1,0,0,1,0,0,0
Anc127BC_73,73,0,0,0,1,0,0,1,0,0,1
Anc127BC_74,74,0,0,0,1,0,0,1,0,1,0
Anc127BC_75,75,0,0,0,1,0,0,1,0,1,1
Anc127BC_76,76,0,0,0,1,0,0,1,1,0,0
Anc127BC_77,77,0,0,0,1,0,0,1,1,0,1
Anc127BC_78,78,0,0,0,1,0,0,1,1,1,0
Anc127BC_79,79,0,0,0,1,0,0,1,1,1,1
Anc127BC_80,80,0,0,0,1,0,1,0,0,0,0
Anc127BC_81,81,0,0,0,1,0,1,0,0,0,1
Anc127BC_82,82,0,0,0,1,0,1,0,0,1,0
Anc127BC_83,83,0,0,0,1,0,1,0,0,1,1
Anc127BC_84,84,0,0,0,1,0,1,0,1,0,0
Anc127BC_85,85,0,0,0,1,0,1,0,1,0,1
Anc127BC_86,86,0,0,0,1,0,1,0,1,1,0
Anc127BC_87,87,0,0,0,1,0,1,0,1,1,1
Anc127BC_88,88,0,0,0,1,0,1,1,0,0,0
Anc127BC_89,89,0,0,0,1,0,1,1,0,0,1
Anc127BC_90,90,0,0,0,1,0,1,1,0,1,0
Anc127BC_91,91,0,0,0,1,0,1,1,0,1,1
Anc127BC_92,92,0,0,0,1,0,1,1,1,0,0
Anc127BC_93,93,0,0,0,1,0,1,1,1,0,1
Anc127BC_94,94,0,0,0,1,0,1,1,1,1,0
Anc127BC_95,95,0,0,0,1,0,1,1,1,1,1
Anc127BC_96,96,0,0,0,1,1,0,0,0,0,0
Anc127BC_97,97,0,0,0,1,1,0,0,0,0,1
Anc127BC_98,98,0,0,0,1,1,0,0,0,1,0
Anc127BC_99,99,0,0,0,1,1,0,0,0,1,1
Anc127BC_100,100,0,0,0,1,1,0,0,1,0,0
Anc127BC_101,101,0,0,0,1,1,0,0,1,0,1
Anc127BC_102,102,0,0,0,1,1,0,0,1,1,0
Anc127BC_103,103,0,0,0,1,1,0,0,1,1,1
Anc127BC_104,104,0,0,0,1,1,0,1,0,0,0
Anc127BC_105,105,0,0,0,1,1,0,1,0,0,1
Anc127BC_106,106,0,0,0,1,1,0,1,0,1,0
Anc127BC_107,107,0,0,0,1,1,0,1,0,1,1
Anc127BC_108,108,0,0,0,1,1,0,1,1,0,0
Anc127BC_109,109,0,0,0,1,1,0,1,1,0,1
Anc127BC_110,110,0,0,0,1,1,0,1,1,1,0
Anc127BC_111,111,0,0,0,1,1,0,1,1,1,1
Anc127BC_112,112,0,0,0,1,1,1,0,0,0,0
Anc127BC_113,113,0,0,0,1,1,1,0,0,0,1
Anc127BC_114,114,0,0,0,1,1,1,0,0,1,0
Anc127BC_115,115,0,0,0,1,1,1,0,0,1,1
Anc127BC_116,116,0,0,0,1,1,1,0,1,0,0
Anc127BC_117,117,0,0,0,1,1,1,0,1,0,1
Anc127BC_118,118,0,0,0,1,1,1,0,1,1,0
Anc127BC_119,119,0,0,0,1,1,1,0,1,1,1
Anc127BC_120,120,0,0,0,1,1,1,1,0,0,0
Anc127BC_121,121,0,0,0,1,1,1,1,0,0,1
Anc127BC_122,122,0,0,0,1,1,1,1,0,1,0
Anc127BC_123,123,0,0,0,1,1,1,1,0,1,1
Anc127BC_124,124,0,0,0,1,1,1,1,1,0,0
Anc127BC_125,125,0,0,0,1,1,1,1,1,0,1
Anc127BC_126,126,0,0,0,1,1,1,1,1,1,0
Anc127BC_127,127,0,0,0,1,1,1,1,1,1,1
Anc127BC_128,128,0,0,1,0,0,0,0,0,0,0
Anc127BC_129,129,0,0,1,0,0,0,0,0,0,1
Anc127BC_130,130,0,0,1,0,0,0,0,0,1,0
Anc127BC_131,131,0,0,1,0,0,0,0,0,1,1
Anc127BC_132,132,0,0,1,0,0,0,0,1,0,0
Anc127BC_133,133,0,0,1,0,0,0,0,1,0,1
Anc127BC_134,134,0,0,1,0,0,0,0,1,1,0
Anc127BC_135,135,0,0,1,0,0,0,0,1,1,1
Anc127BC_136,136,0,0,1,0,0,0,1,0,0,0
Anc127BC_137,137,0,0,1,0,0,0,1,0,0,1
Anc127BC_138,138,0,0,1,0,0,0,1,0,1,0
Anc127BC_139,139,0,0,1,0,0,0,1,0,1,1
Anc127BC_140,140,0,0,1,0,0,0,1,1,0,0
Anc127BC_141,141,0,0,1,0,0,0,1,1,0,1
Anc127BC_142,142,0,0,1,0,0,0,1,1,1,0
Anc127BC_143,143,0,0,1,0,0,0,1,1,1,1
Anc127BC_144,144,0,0,1,0,0,1,0,0,0,0
Anc127BC_145,145,0,0,1,0,0,1,0,0,0,1
Anc127BC_146,146,0,0,1,0,0,1,0,0,1,0
Anc127BC_147,147,0,0,1,0,0,1,0,0,1,1
Anc127BC_148,148,0,0,1,0,0,1,0,1,0,0
Anc127BC_149,149,0,0,1,0,0,1,0,1,0,1
Anc127BC_150,150,0,0,1,0,0,1,0,1,1,0
Anc127BC_151,151,0,0,1,0,0,1,0,1,1,1
Anc127BC_152,152,0,0,1,0,0,1,1,0,0,0
Anc127BC_153,153,0,0,1,0,0,1,1,0,0,1
Anc127BC_154,154,0,0,1,0,0,1,1,0,1,0
Anc127BC_155,155,0,0,1,0,0,1,1,0,1,1
Anc127BC_156,156,0,0,1,0,0,1,1,1,0,0
Anc127BC_157,157,0,0,1,0,0,1,1,1,0,1
Anc127BC_158,158,0,0,1,0,0,1,1,1,1,0
Anc127BC_159,159,0,0,1,0,0,1,1,1,1,1
Anc127BC_160,160,0,0,1,0,1,0,0,0,0,0
Anc127BC_161,161,0,0,1,0,1,0,0,0,0,1
Anc127BC_162,162,0,0,1,0,1,0,0,0,1,0
Anc127BC_163,163,0,0,1,0,1,0,0,0,1,1
Anc127BC_164,164,0,0,1,0,1,0,0,1,0,0
Anc127BC_165,165,0,0,1,0,1,0,0,1,0,1
Anc127BC_166,166,0,0,1,0,1,0,0,1,1,0
Anc127BC_167,167,0,0,1,0,1,0,0,1,1,1
Anc127BC_168,168,0,0,1,0,1,0,1,0,0,0
Anc127BC_169,169,0,0,1,0,1,0,1,0,0,1
Anc127BC_170,170,0,0,1,0,1,0,1,0,1,0
Anc127BC_171,171,0,0,1,0,1,0,1,0,1,1
Anc127BC_172,172,0,0,1,0,1,0,1,1,0,0
Anc127BC_173,173,0,0,1,0,1,0,1,1,0,1
Anc127BC_174,174,0,0,1,0,1,0,1,1,1,0
Anc127BC_175,175,0,0,1,0,1,0,1,1,1,1
Anc127BC_176,176,0,0,1,0,1,1,0,0,0,0
Anc127BC_177,177,0,0,1,0,1,1,0,0,0,1
Anc127BC_178,178,0,0,1,0,1,1,0,0,1,0
Anc127BC_179,179,0,0,1,0,1,1,0,0,1,1
Anc127BC_180,180,0,0,1,0,1,1,0,1,0,0
Anc127BC_181,181,0,0,1,0,1,1,0,1,0,1
Anc127BC_182,182,0,0,1,0,1,1,0,1,1,0
Anc127BC_183,183,0,0,1,0,1,1,0,1,1,1
Anc127BC_184,184,0,0,1,0,1,1,1,0,0,0
Anc127BC_185,185,0,0,1,0,1,1,1,0,0,1
Anc127BC_186,186,0,0,1,0,1,1,1,0,1,0
Anc127BC_187,187,0,0,1,0,1,1,1,0,1,1
Anc127BC_188,188,0,0,1,0,1,1,1,1,0,0
Anc127BC_189,189,0,0,1,0,1,1,1,1,0,1
Anc127BC_190,190,0,0,1,0,1,1,1,1,1,0
Anc127BC_191,191,0,0,1,0,1,1,1,1,1,1
Anc127BC_192,192,0,0,1,1,0,0,0,0,0,0
Anc127BC_193,193,0,0,1,1,0,0,0,0,0,1
Anc127BC_194,194,0,0,1,1,0,0,0,0,1,0
Anc127BC_195,195,0,0,1,1,0,0,0,0,1,1
Anc127BC_196,196,0,0,1,1,0,0,0,1,0,0
Anc127BC_197,197,0,0,1,1,0,0,0,1,0,1
Anc127BC_198,198,0,0,1,1,0,0,0,1,1,0
Anc127BC_199,199,0,0,1,1,0,0,0,1,1,1
Anc127BC_200,200,0,0,1,1,0,0,1,0,0,0
Anc127BC_201,201,0,0,1,1,0,0,1,0,0,1
Anc127BC_202,202,0,0,1,1,0,0,1,0,1,0
Anc127BC_203,203,0,0,1,1,0,0,1,0,1,1
Anc127BC_204,204,0,0,1,1,0,0,1,1,0,0
Anc127BC_205,205,0,0,1,1,0,0,1,1,0,1
Anc127BC_206,206,0,0,1,1,0,0,1,1,1,0
