barcode_index_matrix,index,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
Anc81BC_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anc81BC_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anc81BC_2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Anc81BC_3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Anc81BC_4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anc81BC_5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Anc81BC_6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Anc81BC_7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Anc81BC_8,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anc81BC_9,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Anc81BC_10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Anc81BC_11,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Anc81BC_12,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Anc81BC_13,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Anc81BC_14,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Anc81BC_15,15,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Anc81BC_16,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Anc81BC_17,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Anc81BC_18,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Anc81BC_19,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Anc81BC_20,20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Anc81BC_21,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Anc81BC_22,22,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Anc81BC_23,23,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
Anc81BC_24,24,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Anc81BC_25,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
Anc81BC_26,26,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Anc81BC_27,27,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Anc81BC_28,28,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Anc81BC_29,29,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Anc81BC_30,30,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
Anc81BC_31,31,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Anc81BC_32,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anc81BC_33,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
